name	ensg	label	id	combined_family	class_id	family_id
PRDM9	ENSMUSG00000051977	PRDM9 (PFM6) [1+13]	2.3.4.0.71	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZBTB12	ENSMUSG00000049823	ZBTB12 (NG35) [4]	2.3.3.11.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ETV1	ENSMUSG00000004151	ETV1	3.5.2.2.4	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
BCL6B	ENSMUSG00000000317	BCL6B (BAZF, ZNF62) [5]	2.3.3.22.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MYF5	ENSMUSG00000000435	Myf-5	1.2.2.1.3	Basic helix-loop-helix factors (bHLH)>MyoD / ASC-related factors	1.2	1.2.2
ZBED6	ENSMUSG00000094410	ZBED6	2.3.5.0.6	C2H2 zinc finger factors>BED zinc finger factors	2.3	2.3.5
MTA1	ENSMUSG00000021144	MTA1	2.2.1.2.5	Other C4 zinc finger-type factors	2.2	2.2.1
NRL	ENSMUSG00000040632	Nrl	1.1.3.1.4	Basic leucine zipper factors (bZIP)>Maf-related factors	1.1	1.1.3
ZNF788	ENSMUSG00000057835	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZFP90	ENSMUSG00000031907	ZFP90 (ZNF756) [13]	2.3.3.0.149	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
TWIST2	ENSMUSG00000007805	Twist-2 (Dermo-1)	1.2.3.2.2	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
SRF	ENSMUSG00000015605	SRF	5.1.2.0.1	MADS box factors	5.1	5.1.2
NFXL1	ENSMUSG00000072889	NFXL1 (OZFP)	0.4.1.0.2	NFX1-type putative zinc finger factors	0.4	0.4.1
SP100	ENSMUSG00000094514	Sp100	5.3.5.2.1	SAND domain factors	5.3	5.3.5
MAFB	ENSMUSG00000074622	MafB	1.1.3.1.3	Basic leucine zipper factors (bZIP)>Maf-related factors	1.1	1.1.3
ELF3	ENSMUSG00000003051	Elf-3 (ESE-1)	3.5.2.4.2	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
RORC	ENSMUSG00000028150	RORgamma (NR1F3)	2.1.2.6.3	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
SFPQ	ENSMUSG00000028820	SFPQ (PSF)	0.2.1.0.2	NonO domain factors	0.2	0.2.1
KLF15	ENSMUSG00000030087	KLF15 (KKLF)	2.3.1.2.15	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
MYT1L	ENSMUSG00000061911	MYT1L (MyT1L, NZF-1) [6]	2.7.1.0.2	C2HC zinc finger factors	2.7	2.7.1
TCFL5	ENSMUSG00000038932	TCFL5 (Cha, E2BP-1)	1.2.5.5.3	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
ZNF431	ENSMUSG00000074824	ZNF431 [13]	2.3.3.59.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SOX9	ENSMUSG00000000567	SOX-9	4.1.1.5.2	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
DMRT2	ENSMUSG00000048138	DMRT2	2.5.1.0.2	DM-type intertwined zinc finger factors	2.5	2.5.1
HLF	ENSMUSG00000003949	HLF	1.1.8.2.2	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1	1.1.8
ZNF519	ENSMUSG00000042063	ZNF519 [1+9]	2.3.4.0.68	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
NFIL3	ENSMUSG00000056749	NF-IL3 (E4BP4)	1.1.8.2.4	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1	1.1.8
SOHLH1	ENSMUSG00000059625	SOHLH1 (TEB2)	1.2.5.5.1	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
ZNF788	ENSMUSG00000071295	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SIX5	ENSMUSG00000040841	SIX5	3.1.6.3.2	Homeo domain factors>HD-SINE factors	3.1	3.1.6
ADNP2	ENSMUSG00000053950	ADNP2 (ZNF508)	2.3.4.0.78	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000074829	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000089756	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ETS2	ENSMUSG00000022895	c-Ets-2	3.5.2.1.2	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
PPARG	ENSMUSG00000000440	PPARgamma (NR1C3)	2.1.2.5.3	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
KAT6A	ENSMUSG00000031540	MYST3 (TIP60 protein 3, RUNXBP2, ZNF220) [1]	2.7.3.0.3	C2HC zinc finger factors	2.7	2.7.3
ZBTB47	ENSMUSG00000013419	ZBTB47 (ZNF651) [9]	2.3.3.29.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ONECUT2	ENSMUSG00000045991	ONECUT-2 (HNF-6beta, OC-2)	3.1.9.1.2	Homeo domain factors>HD-CUT factors	3.1	3.1.9
ID3	ENSMUSG00000007872	Id3	1.2.8.0.3	Basic helix-loop-helix factors (bHLH)>HLH domain only	1.2	1.2.8
HOXC12	ENSMUSG00000050328	Hox-C12 (HOX3F)	3.1.1.8.11	Homeo domain factors>HOX-related factors	3.1	3.1.1
MEIS3	ENSMUSG00000041420	Meis3	3.1.4.2.3	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
GATAD2B	ENSMUSG00000042390	p66-beta (GATAD2B)	2.2.1.2.3	Other C4 zinc finger-type factors	2.2	2.2.1
PAX3	ENSMUSG00000004872	Pax-3 (HuP2)	3.2.1.1.1	Paired box factors	3.2	3.2.1
NKX2-1	ENSMUSG00000001496	NKX-2.1 (NKX2-1, TTF-1)	3.1.2.14.1	Homeo domain factors>NK-related factors	3.1	3.1.2
KMT2A	ENSMUSG00000002028	MLL (CXXC7, ALL1, HRX, HTRX, KMT2A, MLL1, TRX1)	2.6.1.0.4	CXXC zinc finger factors	2.6	2.6.1
ZNF788	ENSMUSG00000096856	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF169	ENSMUSG00000050954	ZNF169 [13]	2.3.3.61.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
PAX9	ENSMUSG00000001497	Pax-9	3.2.2.1.2	Paired box factors	3.2	3.2.2
TGIF2LY	ENSMUSG00000100133	TGIF-2LY	3.1.4.6.4	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
HIVEP2	ENSMUSG00000015501	HIV-EP2 (MBP-2, ZNF40B) [2+2]	2.3.4.5.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
EBF4	ENSMUSG00000053552	EBF4 (COE4)	6.1.5.0.4	Rel homology region (RHR) factors	6.1	6.1.5
POU2F2	ENSMUSG00000008496	POU2F2 (Oct-2, OTF-2)	3.1.10.2.2	Homeo domain factors>POU domain factors	3.1	3.1.10
ZNF610	ENSMUSG00000067919	ZNF610 [9]	2.3.3.0.89	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
AEBP2	ENSMUSG00000030232	AEBP2 [2]	2.3.2.4.9	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
ZBTB21	ENSMUSG00000046962	ZNF295 (ZBTB21) [2+1+2+2+1]	2.3.4.0.10	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
TGIF2	ENSMUSG00000062175	TGIF-2	3.1.4.6.2	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
ZNF691	ENSMUSG00000045268	ZNF691 [7]	2.3.3.0.39	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF664	ENSMUSG00000079215	ZNF664 (ZFOC1, ZNF196) [9]	2.3.3.0.84	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SOHLH2	ENSMUSG00000027794	SOHLH2 (TEB1)	1.2.5.5.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
ZNF25	ENSMUSG00000072623	ZNF25 (KOX19) [12]	2.3.3.69.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SP140	ENSMUSG00000079192	Sp140	5.3.5.1.1	SAND domain factors	5.3	5.3.5
ZNF454	ENSMUSG00000048728	ZNF454 [12]	2.3.3.0.125	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF788	ENSMUSG00000094076	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF781	ENSMUSG00000071083	ZNF781	2.3.3.0.10	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
HIVEP1	ENSMUSG00000021366	HIV-EP1 (ZNF40, PRDII-BF1, MBP-1, CIRIP, GAAP) [2+1+2]	2.3.4.5.1	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SP100	ENSMUSG00000094915	Sp100	5.3.5.2.1	SAND domain factors	5.3	5.3.5
NR3C2	ENSMUSG00000031618	Mineralocorticoid receptor (MR) (NR3C2)	2.1.1.1.2	Nuclear receptors with C4 zinc fingers>Steroid hormone receptors (NR3)	2.1	2.1.1
GCM2	ENSMUSG00000021362	GCMb (GCM2)	7.2.1.0.2	GCM domain factors	7.2	7.2.1
E2F6	ENSMUSG00000057469	E2F-6	3.3.2.1.6	Fork head / winged helix factors>E2F-related factors	3.3	3.3.2
NEUROG3	ENSMUSG00000044312	NGN-3 (Atoh5)	1.2.3.4.7	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
ZNF99	ENSMUSG00000057396	ZNF99 [30]	2.3.3.80.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF292	ENSMUSG00000039967	ZNF292 [1+5+1+1+2+4+1]	2.3.4.7.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
RORB	ENSMUSG00000036192	RORbeta (NR1F2)	2.1.2.6.2	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
HINFP	ENSMUSG00000032119	HINFP (MIZF, ZNF743) [1+8]	2.3.4.21.1	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
POU1F1	ENSMUSG00000004842	POU1F1 (Pit-1, GHF-1)	3.1.10.1.1	Homeo domain factors>POU domain factors	3.1	3.1.10
HIC2	ENSMUSG00000050240	HIC2 (HRG22, ZBTB30) [1+4]	2.3.4.17.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZIC3	ENSMUSG00000067860	ZIC3 (ZNF203) [5]	2.3.3.1.9	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
POU4F2	ENSMUSG00000031688	POU4F2 (Brn-3B)	3.1.10.4.2	Homeo domain factors>POU domain factors	3.1	3.1.10
FIZ1	ENSMUSG00000061374	FIZ1 (ZNF798) [4+2+5]	2.3.4.0.38	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF143	ENSMUSG00000061079	ZNF143 (SBF, STAF) [7]	2.3.3.28.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF22	ENSMUSG00000059878	ZNF22 (KOX15, KROX26)	2.3.3.0.13	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF160	ENSMUSG00000067942	ZNF160 [20]	2.3.3.76.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZIC1	ENSMUSG00000032368	ZIC1 (ZNF201) [5]	2.3.3.1.7	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
EOMES	ENSMUSG00000032446	TBR-2 (EOMES)	6.5.2.0.2	T-Box factors	6.5	6.5.2
ARID5B	ENSMUSG00000019947	ARID5B (DESRT, MRF2)	3.7.1.5.2	ARID domain factors	3.7	3.7.1
FOSB	ENSMUSG00000003545	FosB	1.1.2.1.2	Basic leucine zipper factors (bZIP)>Fos-related factors	1.1	1.1.2
ZFP41	ENSMUSG00000047003	ZFP41	2.3.3.0.17	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MSGN1	ENSMUSG00000047002	Mesogenin-1 (MSGN1)	1.2.3.3.6	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
FOXO4	ENSMUSG00000042903	FOXO4	3.3.1.15.3	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
CRAMP1L	ENSMUSG00000038002	CRAMP1L (HN1L)	3.5.1.3.11	Tryptophan cluster factors>Myb/SANT domain factors	3.5	3.5.1
BNC2	ENSMUSG00000028487	BNC2 [1+1+2]	2.3.4.19.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
RELB	ENSMUSG00000002983	RelB (I-Rel)	6.1.1.2.2	Rel homology region (RHR) factors	6.1	6.1.1
DDIT3	ENSMUSG00000025408	DDIT3 (CHOP-10)	1.1.8.1.6	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1	1.1.8
GLI1	ENSMUSG00000025407	GLI1 [5]	2.3.3.1.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SMAD4	ENSMUSG00000024515	SMAD4	7.1.1.2.1	SMAD/NF-1 DNA-binding domain factors	7.1	7.1.1
PRDM2	ENSMUSG00000057637	PRDM2 (G3B, MTB-ZF, MTE-BP, KMT8, RIZ) [2+1+3+1+1]	2.3.4.0.16	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
NFKBIE	ENSMUSG00000023947	IkappaBepsilon	6.1.2.1.4	Rel homology region (RHR) factors	6.1	6.1.2
ZBTB33	ENSMUSG00000048047	ZBTB33 (KAISO, ZNF348) [3]	2.3.2.1.12	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
FOXH1	ENSMUSG00000033837	FOXH1	3.3.1.8.1	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
MEIS2	ENSMUSG00000027210	Meis2	3.1.4.2.2	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
TBX19	ENSMUSG00000026572	TBX19	6.5.1.0.2	T-Box factors	6.5	6.5.1
PKNOX1	ENSMUSG00000006705	PKNOX-1 (PREP-1)	3.1.4.5.1	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
ZNF383	ENSMUSG00000099689	ZNF383 [11]	2.3.3.35.5	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
IRF1	ENSMUSG00000018899	IRF-1	3.5.3.0.1	Tryptophan cluster factors>Interferon-regulatory factors	3.5	3.5.3
ATOH7	ENSMUSG00000036816	ATH-5	1.2.3.4.9	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
SOX15	ENSMUSG00000041287	SOX-15	4.1.1.7.1	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
ZIC2	ENSMUSG00000061524	ZIC2 [5]	2.3.3.1.8	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
NKX2-3	ENSMUSG00000044220	NKX-2.3 (NKX2-3, NKX2C, NKX4-3)	3.1.2.17.1	Homeo domain factors>NK-related factors	3.1	3.1.2
TSC22D4	ENSMUSG00000029723	TSC22D4 (TILZ2)	1.1.0.1.4	Basic leucine zipper factors (bZIP)>ZIP only	1.1	1.1.0
DMAP1	ENSMUSG00000009640	DMAP1	3.5.1.3.8	Tryptophan cluster factors>Myb/SANT domain factors	3.5	3.5.1
ZEB2	ENSMUSG00000026872	ZEB2 (SMADIP1)	3.1.8.3.2	Homeo domain factors>HD-ZF factors	3.1	3.1.8
ZNF788	ENSMUSG00000091183	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SNAI2	ENSMUSG00000022676	SNAI2 (SLUG) [5]	2.3.3.2.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF790	ENSMUSG00000058447	ZNF790 [13]	2.3.3.0.158	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MLXIPL	ENSMUSG00000005373	MondoB (Mlx-IPL, WS-bHLH)	1.2.6.6.3	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
SPIB	ENSMUSG00000008193	Spi-B	3.5.2.5.2	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
ZNF281	ENSMUSG00000041483	ZNF281 (GZP1, ZBP99) [4]	2.3.3.13.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
RREB1	ENSMUSG00000039087	RREB1 (FINB, Zep-1, LZ321) [1+3]	2.3.4.0.15	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
POU4F3	ENSMUSG00000024497	POU4F3 (Brn-3C)	3.1.10.4.3	Homeo domain factors>POU domain factors	3.1	3.1.10
RARB	ENSMUSG00000017491	RAR-beta (NR1B2)	2.1.2.1.2	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
ZNF511	ENSMUSG00000025470	ZNF511 [3]	2.3.2.4.2	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
TEAD3	ENSMUSG00000002249	TEF-5 (TEAD-3, TEAD5)	3.6.1.0.4	TEA domain factors	3.6	3.6.1
ZNF788	ENSMUSG00000074830	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
PRDM5	ENSMUSG00000029913	PRDM5 (PFM2) [16]	2.3.3.0.195	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
RFXAP	ENSMUSG00000036615	RFXAP	0.0.4.0.1	Uncharacterized	0.0	0.0.4
ZBED6	ENSMUSG00000102049	ZBED6	2.3.5.0.6	C2H2 zinc finger factors>BED zinc finger factors	2.3	2.3.5
ZNF812	ENSMUSG00000060510	ZNF812 [10]	2.3.3.45.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ARID1B	ENSMUSG00000069729	ARID1B (BAF250, BAF250A, OSA1, SMARCF1)	3.7.1.1.2	ARID domain factors	3.7	3.7.1
DNMT3B	ENSMUSG00000027478	DNMT3B	2.2.1.2.10	Other C4 zinc finger-type factors	2.2	2.2.1
NKX1-2	ENSMUSG00000048528	NKX-1.2 (NKX1-2, SAX-1)	3.1.2.13.2	Homeo domain factors>NK-related factors	3.1	3.1.2
SOX17	ENSMUSG00000025902	SOX-17	4.1.1.6.2	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
ATOH8	ENSMUSG00000037621	ATH-6	1.2.3.4.10	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
IRF8	ENSMUSG00000041515	IRF-8 (ICSBP1)	3.5.3.0.8	Tryptophan cluster factors>Interferon-regulatory factors	3.5	3.5.3
EBF2	ENSMUSG00000022053	EBF2 (COE2)	6.1.5.0.2	Rel homology region (RHR) factors	6.1	6.1.5
HDX	ENSMUSG00000034551	HDX	3.1.10.8.1	Homeo domain factors>POU domain factors	3.1	3.1.10
TFAP2D	ENSMUSG00000042596	AP-2delta	1.3.1.0.4	Basic helix-span-helix factors (bHSH)	1.3	1.3.1
ZHX2	ENSMUSG00000071757	ZHX2 (AFP)	3.1.8.5.2	Homeo domain factors>HD-ZF factors	3.1	3.1.8
SOX21	ENSMUSG00000061517	SOX-21	4.1.1.2.5	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
FOXL2	ENSMUSG00000050397	FOXL2	3.3.1.12.2	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
FEZF1	ENSMUSG00000029697	FEZF1 (ZNF312B) [6]	2.3.3.20.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
BCL11B	ENSMUSG00000048251	BCL11B (CTIP2, RIT1) [1+2+3]	2.3.4.15.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
BARHL1	ENSMUSG00000026805	BarH-L1	3.1.2.1.1	Homeo domain factors>NK-related factors	3.1	3.1.2
JUNB	ENSMUSG00000052837	JunB	1.1.1.1.2	Basic leucine zipper factors (bZIP)>Jun-related factors	1.1	1.1.1
POU2F1	ENSMUSG00000099515	POU2F1 (Oct-1, OTF-1)	3.1.10.2.1	Homeo domain factors>POU domain factors	3.1	3.1.10
FOXI1	ENSMUSG00000047861	FOXI1 (Fkh-L10, FREAC6)	3.3.1.9.1	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
ARX	ENSMUSG00000035277	ARX	3.1.3.3.1	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
DLX5	ENSMUSG00000029755	DLX-5	3.1.2.5.5	Homeo domain factors>NK-related factors	3.1	3.1.2
DLX6	ENSMUSG00000029754	DLX-6	3.1.2.5.6	Homeo domain factors>NK-related factors	3.1	3.1.2
PRDM15	ENSMUSG00000014039	PRDM15 (ZNF298) [1+15]	2.3.4.0.32	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
FERD3L	ENSMUSG00000046518	Fer3L	1.2.3.4.17	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
DUX4L3	ENSMUSG00000058537	DUX4L3	3.1.3.7.8	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
IRF9	ENSMUSG00000002325	IRF-9 (ISGF-3gamma)	3.5.3.0.9	Tryptophan cluster factors>Interferon-regulatory factors	3.5	3.5.3
NFIX	ENSMUSG00000001911	NF-1X	7.1.2.0.4	SMAD/NF-1 DNA-binding domain factors	7.1	7.1.2
TP53	ENSMUSG00000059552	p53	6.3.1.0.1	p53 domain factors	6.3	6.3.1
TBX6	ENSMUSG00000030699	TBX6	6.5.5.0.1	T-Box factors	6.5	6.5.5
ZBTB37	ENSMUSG00000043467	ZBTB37 [3]	2.3.2.1.9	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
NFKBIB	ENSMUSG00000030595	IkappaBbeta	6.1.2.1.2	Rel homology region (RHR) factors	6.1	6.1.2
LHX5	ENSMUSG00000029595	Lhx5	3.1.5.2.2	Homeo domain factors>HD-LIM factors	3.1	3.1.5
NFATC1	ENSMUSG00000033016	NFATc1	6.1.3.0.1	Rel homology region (RHR) factors	6.1	6.1.3
ZKSCAN2	ENSMUSG00000030757	ZKSCAN2 (ZNF694) [6]	2.3.3.19.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF667	ENSMUSG00000054893	ZNF667 [15]	2.3.3.0.179	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
NPAS1	ENSMUSG00000001988	NPAS-1	1.2.5.1.8	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
EGR4	ENSMUSG00000071341	EGR4	2.3.1.3.4	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
DMRT1	ENSMUSG00000024837	DMRT1	2.5.1.0.1	DM-type intertwined zinc finger factors	2.5	2.5.1
DMRTB1	ENSMUSG00000028610	DMRTB1	2.5.1.0.6	DM-type intertwined zinc finger factors	2.5	2.5.1
IKZF2	ENSMUSG00000025997	IKZF2 (HELIOS, ZNFN1A2) [4+2]	2.3.4.4.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000091764	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
BACH1	ENSMUSG00000025612	BACH1	1.1.1.2.5	Basic leucine zipper factors (bZIP)>Jun-related factors	1.1	1.1.1
ZNF397	ENSMUSG00000024276	ZNF397 (ZSCAN15) [9]	2.3.3.34.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
VDR	ENSMUSG00000022479	VDR (NR1I1)	2.1.2.4.1	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
ZSCAN30	ENSMUSG00000024274	ZSCAN30 (ZNF397OS) [7]	2.3.3.0.43	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZFY	ENSMUSG00000000103	ZFY [13]	2.3.3.65.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
PBX1	ENSMUSG00000052534	PBX-1	3.1.4.4.1	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
HOXD9	ENSMUSG00000043342	Hox-D9 (HOX4C)	3.1.1.8.4	Homeo domain factors>HOX-related factors	3.1	3.1.1
FOXG1	ENSMUSG00000020950	FOXG1 (Fkh-2)	3.3.1.7.1	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
HIF1A	ENSMUSG00000021109	HIF-1alpha	1.2.5.1.5	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
ZNF449	ENSMUSG00000073176	ZNF449 (ZSCAN19) [7]	2.3.3.0.41	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF788	ENSMUSG00000078886	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
NKX6-1	ENSMUSG00000035187	NKX-6.1 (NKX6-1, NKX6A)	3.1.2.19.1	Homeo domain factors>NK-related factors	3.1	3.1.2
TCF4	ENSMUSG00000053477	SEF2 (E2-2, TCF-4, ITF-2)	1.2.1.0.2	Basic helix-loop-helix factors (bHLH)>E2A-related factors	1.2	1.2.1
GBX2	ENSMUSG00000034486	GBX-2	3.1.1.11.2	Homeo domain factors>HOX-related factors	3.1	3.1.1
CASZ1	ENSMUSG00000028977	CASZ1 (CST, SRG, ZNF693) [3+1+1+3]	2.3.4.0.1	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000074731	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SOX12	ENSMUSG00000051817	SOX-12 (SOX-22)	4.1.1.3.3	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
NFE2L1	ENSMUSG00000038615	NF-E2L1 (NRF1)	1.1.1.2.2	Basic leucine zipper factors (bZIP)>Jun-related factors	1.1	1.1.1
ZNF235	ENSMUSG00000047603	ZNF235 (ZFP93, ZNF270) [16]	2.3.3.47.9	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
